,tempo,total_beats,average_beats,chroma_stft_mean,chroma_stft_std,chroma_stft_var,chroma_cq_mean,chroma_cq_std,chroma_cq_var,chroma_cens_mean,chroma_cens_std,chroma_cens_var,melspectrogram_mean,melspectrogram_std,melspectrogram_var,mfcc_mean,mfcc_std,mfcc_var,mfcc_delta_mean,mfcc_delta_std,mfcc_delta_var,rmse_mean,rmse_std,rmse_var,cent_mean,cent_std,cent_var,spec_bw_mean,spec_bw_std,spec_bw_var,contrast_mean,contrast_std,contrast_var,rolloff_mean,rolloff_std,rolloff_var,poly_mean,poly_std,poly_var,tonnetz_mean,tonnetz_std,tonnetz_var,zcr_mean,zcr_std,zcr_var,harm_mean,harm_std,harm_var,perc_mean,perc_std,perc_var,frame_mean,frame_std,frame_var
mean,114.29154389153496,133186.952991453,1238.0048471201287,0.30901673608887875,0.2901024942990951,0.0842964327407306,0.4693779525380658,0.2697676442358783,0.07316071741385323,0.24651392308133083,0.14519173085513248,0.022202681232907622,4.023373072314329,24.26263130673497,1008.510365947078,-4.916589043471661,56.81447365825928,3690.111506905042,0.00038760246826994964,2.4882657102370294,7.02945208138831,0.11601045889716245,0.04319779654272283,0.0025653472019210965,1805.461868538995,597.1760394412456,417411.9620780976,1927.108667082245,426.11197444853684,212379.3411988935,23.573801713227432,7.214749387335175,53.3619522503521,3668.201765195531,1298.6862361512167,1996139.3779675798,1.304755721213809,1.5436602294011126,3.5739774717158435,0.004091290613192528,0.0800803203385928,0.006801474316341713,0.09083692524661573,0.04604778463193986,0.0027291581417578275,-9.360935715941396e-05,0.10244205202827723,0.01208633979390431,-1.8416284927763215e-05,0.040316017504291944,0.0030813944167005338,4.998960962691238,2.712588130822707,11.550992821367979
std,32.35079716097569,43888.118234590256,200.53393040007577,0.0917378383439796,0.011716179056603706,0.00670085928631202,0.07626887822435889,0.019671359382871588,0.010245282579853727,0.018341633641630335,0.03353274794659372,0.009065827828784978,4.007157294032342,20.511803735694667,1936.9797589802386,7.3585242373087105,21.522473591008097,2709.492705686663,0.04978797084255736,0.9163952416216098,6.112458909903268,0.057474429527458105,0.026472532651751753,0.005792929550432809,702.2310737314801,246.82568174483671,321572.74551794963,659.9737969469387,175.7096932281765,166045.66421656442,3.206744913242348,1.145489965806884,18.777861950096835,1671.7643531606157,556.9706395552497,1533936.3605520795,0.9309304641592314,1.0925388244889946,8.076241575209906,0.014013555613075325,0.01973445632120681,0.00318192984476065,0.033994730588940175,0.024699458013291327,0.0037527347657000227,0.0017419999067053386,0.03994214146448859,0.009878574191341298,0.0007068764683480958,0.03819857266864945,0.009442501334158651,4.0042013229872815,2.04983822227875,30.052354392134173
